,full_text,VADER_score,predicted_sentiment
205,Can end the pandemic?,0.0,negative
206,Can end the pandemic?,0.0,negative
207,Can end the pandemic?,0.0,negative
208,Can end the pandemic?,0.0,negative
209,Can end the pandemic?,0.0,negative
210,Can end the pandemic?,0.0,negative
211,Can end the pandemic?,0.0,negative
212,Can end the pandemic?,0.0,negative
213,Can end the pandemic?,0.0,negative
214,Can end the pandemic?,0.0,negative
215,Could a COVID-19 Could a end the pandemic?,0.0,negative
216,Moderna Prepares to Launch COVID-19 Vaccine Candidate $MRNA ://,0.0,negative
217,"In-depth story on the need for govts to plan ahead for distribution, once a is available. We can't repeat the issues we had with the H1N1 vaccine in . TY for sharing our new Vaccine Allocation Planner!",0.7525,positive
218,: says preparing for launch; report shows 'strong immune response',0.6705,neutral
219,Moderna Prepares to Launch COVID-19 Vaccine Candidate$MRNA ://,0.0,negative
220,"Pharma major Dr Reddy's on Thursday said it has entered into a partnership with Biotechnology Industry Research Assistance Council (BIRAC) set up by the Department of Biotechnology (DBT) for advisory support on clinical trials of Russian , , in India.",0.4019,neutral
221,school no fee.. line fee only % first then school,-0.296,negative
222,school no fee.. line fee only % first then school,-0.296,negative
223,"Opinion piece: For now, its unethical to use human challenge studies for SARS-CoV-2 vaccine development:",-0.4588,negative
224,wants everything clamped down now until .NEVER happening as peoples` tempers are reaching a boiling point from restrictions.If they can put a man on the moon why can`t they get a now?,-0.128,negative
225,"I talked to a COVID-19 vaccine trial participant about her experience, her side effects and why she says ""it's worth it."" Plus, we got the latest estimations and projections for widespread release from an Austin research expert:",0.2263,neutral
226,GERMANY AIMS TO START CORONAVIRUS VACCINATION THIS YEAR: DJ,0.0,negative
227,Russia ready to produce Covid vax at foreign sites of partners: Putin,0.3612,neutral
228,$PYPL PayPal Introduces Digital Currency Management $ETH $FET $FIL $XRP $USDT $BCH $ADA $BSV $LTC $LINK $BNB $CRO $MSFT $NVDA $AMD $GS $JPM,0.0,negative
229,Russian President said on Thursday that is ready to produce vaccines at the sites of foreign partners.: IANS (File),0.3612,neutral
230,trial paused as clinics run short of shots,0.0,negative
231,Extra Caution for safety and efficacy evaluation of COVID-19 vaccines:,0.4215,neutral
232,"""DC Bill Allowing Children Years and Older to Be Without Parental Knowledge or Consent Advances"" ://",0.2263,neutral
233,"Cyprus authorities report new COVID-19 cases, total of people in hospital",0.0,negative
234,"$NTNX getting close to the trend line, good chances to go through.... $SNOW $CHGG $EDU $GSX $TAL $GNUS $MSFT $NVDA $ZM $DOCU $WORK $XRX $EBIX $VHC $INTC $INPX",0.5719,neutral
235,COVID-19 Vaccine Update: Moderna Inc Prepares to Launch mRNA-1273; Reports Show Vaccine Boosts the Immune System.,0.5423,neutral
236,"States &amp; cities need to build actionable &amp; equitable plans for distribution. Our new Vaccine Allocation Planner, developed w/, helps local leaders allocate vaccines based on socioeconomic &amp; health-related vulnerability.",0.1779,neutral
237,Not hitting Analysis Plan (1st readout) by now could simply mean $BNTX $Pfe IS WORKING.$IBB $XBI $MRNA,0.0,negative
238,"After , now free features in BJP's manifesto",0.5106,neutral
239,"The national vaccine distribution plan is being formulated with the assumption that limited volumes of the inoculation will be available in the first few months of production, Paul said",-0.2263,negative
240,See the latest update on the urgent race to develop a at .,0.2023,neutral
241,Tech Value Stocks: Why COVID-19 Could Be the Best Time to InvestFeature: CHNUFDiscuss: $XRX $EBIX $VHC $INTC $INPX $SNOW $CHGG $EDU $GSX $TAL $GNUS $MSFT $NVDA $ZM $DOCU $WORK,0.765,positive
242,It may be time to reset expectations on when well get a Covid-19 vaccine via,0.2732,neutral
243,"will play a pivotal role in last-mile connectivity for the . Any administration that does not see this, is myopic &amp; detached from the developing tech landscape.",0.2263,neutral
244,"COVID-19 not only challenges the airline industry margins but also tests their logistical readiness, as the question of distributing raises its head. Better to address that elephant in the room early before than let it snowball.",0.7383,positive
245,"THREAD /Great statement re &amp; access to . ""Everyone...is entitled to enjoy the benefits of scientific progress,"" &amp; ""when the benefits of science are managed as a purely commercial product reserved for the wealthy, everyone is harmed.""",0.9001,positive
246,"COVID-19 Vaccine is Not Likely to Be Available in US Until Next Year, Says Anthony Fauci",0.0,negative
247,These guys are great!,0.6588,neutral
248,", America's top infectious disease expert, has said that it was not likely for a to be available in the until next year, the media reported.Photo: IANS (File)",0.2023,neutral
249,Oxfords could be ready by December: CEO,0.3612,neutral
250,", to Help -Led COVAX Create Million Doses of (: Mandar Deshpande/BCCL Pune)",0.7906,positive
251,Completely trust with their . Have every faith that the Middle Kingdom will come through with a successful and .,0.8805,positive
252,The Supreme Court has issued notices to the Centre on a petition that sought to restrict the use of and as medicines to cure COVID-19.,0.25,neutral
253,My Day-20 push up challenge for days,0.0772,neutral
254,"Second Wave of COVID-19: From Germany to France, List of Countries Going Into Lockdown After Fresh Surge in Coronavirus Cases",0.3182,neutral
