,full_text,user,location,date,sentiment
17,"Turning to disparities in the pandemic, looks to the facility as a basis for the equitable distribution of a , with India being central to ensuring vaccine distribution.",BenjaminMMeier,New York City,10/26/2020 14:20,neutral
18,"Even if the cases in Cyprus drop, the danger is still there, Scientific Team member Tsioutis says",Parikiaki,London,10/26/2020 14:04,neutral
19,AstraZeneca says its coronavirus vaccine triggers immune response among adults,LindaAbbott55,Florida and Wisconsin,10/26/2020 13:58,neutral
20,"'s produces an immune response in older people, raising hopes a vaccine will protect those at greatest risk",BiIndia,"New Delhi, India",10/26/2020 13:30,positive
21,COVID-19 Pandemic Driving Tech Stocks to Soar; One small cap is worth a nd look $CHNUF Discuss: $TWTR $SNAP $FB $PINS$COE $UTI $LOPE $GOOG $SNOW $CHGG $EDU $GSX $TAL $GNUS $MSFT $NVDA $ZM,EmergingGrowth1,,10/26/2020 12:36,positive
22,Indian government estimates Rs to Rs cr as the outlay for the COVID-19 vaccine distribution.,marketst0day,"Tamil Nadu, India",10/26/2020 12:23,neutral
23,| Vaccine politicking: Free inoculation for Bihar is cynical populism ://,bsindia,India,10/26/2020 12:10,negative
24,Once there is a who will get it first?Indiana lays out its plan.,Local12,"Cincinnati, OH",10/26/2020 12:01,neutral
25,ETHealthworld | Oxford Covid-19 vaccine trials produce a robust immune response in the elderly: FT,ETHealthWorld,"Noida, India",10/26/2020 12:00,neutral
26,"A should be universal.Lets be clear: protecting wealthy countries alone will not allow life to return to normal. As long as the virus continues to spread anywhere in the world, it is a threat to us all.We must act together, as nations united.",UNICEF_AUOffice,"Addis Ababa, Ethiopia",10/26/2020 11:48,positive
27,"Great Reset trending &amp; I'm trying really hard to resist conspiracy theories. It gets harder every day as ""emergency measures"" are extended ad infinitum in spite of low IFR. ... an experimental that cannot logically be safety profiled.",wichitawarlock,,10/26/2020 11:45,positive
28,State level steering committee monitors compilation &amp; data uploading on digital platforms for COVID-19 vaccine -,Punjabupdate,Chandigarh,10/26/2020 11:37,neutral
29,Indian government estimates Rs to Rs cr as the outlay for the COVID-19 vaccine distribution.,moneycontrolcom,Mumbai,10/26/2020 11:36,neutral
30,"Intra-nasal coronavirus vaccine will be much easier to use and deliver, says Kiran Mazumdar Shaw ://",BT_India,India,10/26/2020 11:33,positive
31,Johnson &amp; Johnson claims that the first batches of its COVID-19 vaccine could be available as soon as in January.,moneycontrolcom,Mumbai,10/26/2020 11:00,positive
32,"The Financial Times reported that the vaccine, being developed by Oxford and AstraZeneca, triggers protective antibodies and T-cells in older age groups. It cited two people familiar with the finding ://",bsindia,India,10/26/2020 11:00,positive
33,So when did become finance minister or official spokesperson of state?,s_anoopkumar,India,10/26/2020 10:15,neutral
34,: 's SUM hospital soon to begin Phase human trial of,werindia,"India and USA, 5 years Old",10/26/2020 9:45,neutral
35,. Alex Azar is rumored to be pushing for the ouster of Commissioner Stephen Hahn in retaliation for the health agencys issuing its own independent guidance for approving a . has denied the allegations.,CHEManager_EU,"Weinheim, Germany",10/26/2020 9:38,positive
36,"Rationing, two-dose jabs and an advisory body - how a Covid-19 vaccine would be rolled out. This is very hopeful even just to know it is on its way - we know its not the silver bullet but it will make a huge difference",TherapyWithAnne,"Dun Laoghaire, Co. Dublin",10/26/2020 8:53,positive
37,Oxford's may get 'emergency approval' before Christmas: Report,phanishankar,Q8,10/26/2020 8:33,neutral
38,Third phase human trial of to commence in soon,thetribunechd,Chandigarh,10/26/2020 8:10,neutral
39,"Oxford's Covid-19 Vaccine, in collaboration with is likely to be developed and administered to medics and high-risk patients before the end of .",moneycontrolcom,Mumbai,10/26/2020 7:56,positive
40,"Union Minister on October said that all Indians will be given free , amidst the demand by Opposition parties in the country for it and not only in poll-bound as announced by the .",Oneindia,India,10/26/2020 7:53,positive
41,trial,Kavisa9,India,10/26/2020 7:53,neutral
42,"Oxford Covid-19 vaccine show it produces a robust immune response in elderly people, the group at highest risk.",moneycontrolcom,Mumbai,10/26/2020 7:48,neutral
43,Medicago signs agreements with the Government of Canada to supply up to million doses of its recombinant plant-derived COVID-19 vaccine,legumeexpress,,10/26/2020 7:33,neutral
44,"trials produce robust immune response in elderly, reports Financial Times",thetribunechd,Chandigarh,10/26/2020 7:29,neutral
45,"got the approval last week from the Indian drug controller to start stage-3 trials of (its candidate) next month. To know more, click",TPCI_,"New Delhi, India",10/26/2020 7:10,positive
46,"Institute for Biological Research will start human clinical trials of its candidate Brilife from Nov after receiving all necessary approvals from the Health Ministry&amp;the Helsinki Committee, the Israeli Defence Ministry said.",TheDailyPioneer,,10/26/2020 7:05,neutral
47,Hoping and praying everyday that the Covid-19 vaccine comes out and puts the end to this pandemic and pathetic life.,sidshahofficial,"Mumbai, India",10/26/2020 7:03,negative
48,Coronavirus vaccine: Oxford COVID-19 shot produces strong immune response in elderly people,BT_India,India,10/26/2020 7:02,positive
49,"updates in India: to begin phase III trials in Mumbai soon, mulls expanding current manufacturing capacity",BiIndia,"New Delhi, India",10/26/2020 7:00,neutral
50,COVAXIN third phase of the human trial to commence soon in Bhubaneswar. ://,moneycontrolcom,Mumbai,10/26/2020 6:15,neutral
51,"All Indians to get free coronavirus vaccine, says Union Minister Pratap Sarangi",dna,India,10/26/2020 6:01,positive
52,"MOPH announced on th October, that it has signed an agreement with a second pharmaceutical company to procure a COVID-19 vaccine as soon as it is approved and released for global use.",thisisqtr,"Doha, Qatar",10/26/2020 5:45,neutral
53,DNA India - Israel to begin human trials of COVID-19 vaccine next month - [],nippynews,,10/26/2020 5:30,neutral
54,"SAVE THE DATE: Join us in partnership w/ , &amp; during webinar.Theme: Preparing African Countries for the . Moderators: &amp; Register now at",Amref_Worldwide,"Kenya, Global Headquarters",10/26/2020 4:53,neutral
55,All citizens in India to get free : Union Minister,thetribunechd,Chandigarh,10/26/2020 4:20,positive
56,ETHealthworld | Vaccine verdict due by early December: Fauci,ETHealthWorld,"Noida, India",10/26/2020 4:00,negative
57,to start human trials,DhakaTribune,"Dhaka, Bangladesh",10/26/2020 3:52,neutral
58,to begin human trials next week,BenTuckett1997,"Winnipeg, Manitoba",10/26/2020 3:26,neutral
59,Israel to start human trials of on November,BiIndia,"New Delhi, India",10/26/2020 3:05,neutral
60,"Any idea on how Moderna will address the confounding factors of geographical location, COVID-19 infectivity rates, mask usage and +/-self quarantining in their study?",wendynash2552,,10/26/2020 2:38,neutral
61,"""You promise free Covid-19 vaccine in Bihar, then are people of other states from Bangladesh or Kazakhstan,"" said.",DeccanHerald,India,10/26/2020 2:13,positive
62,remind do not politicize quarrel on not make profits too like do it for love of mankind,Boeing7779X,Na,10/26/2020 2:01,positive
63,Israel to begin human trials of vaccine next month,dna,India,10/26/2020 1:45,neutral
64,: Phase of human trial of to begin at Odisha's SUM hospital soon,dna,India,10/26/2020 1:28,neutral
65,Will covid-19 vaccines save lives? Current trials arent designed to tell us,wavedeva,US ðŸŽðŸ¦žðŸ‡ºðŸ‡¸ðŸ‡«ðŸ‡·ðŸ‘©ðŸ¾â€ðŸ’»ðŸ“Šâ›µï¸â™»ï¸ðŸŒŠ,10/26/2020 1:01,neutral
66,"IN CHINA THE VIRUS IS UNDER CONTROL!ALSO ECONOMICS!STOP MAKING CHAOS, YOU MAKE THE LOCKDOWNS MUCH WORSE AND HARM YOUR OWN ECONOMICS!TOTALLY CHAOS WILL TAKE OVER",THE_MASK_UP,THE WORLD,10/26/2020 0:58,positive
67,Making a safe &amp; effective available to all Australians is a top priority for usWere monitoring the progress of trials around the world. Any potential vaccine must pass Australias tough regulations before being approved.More info:,healthgovau,Australia,10/26/2020 0:30,positive
68,to redeem your lowsy performance time to invite makers to develop a vaccines cold storage plant in the Philippines invite private sector participation like right,Boeing7779X,Na,10/26/2020 0:14,negative
69,On our way. by Modena just completed enrollment with K participants. Now we wait and see.,ksluka0101,"Coralville, IA",10/25/2020 23:57,neutral
70,So the elderly become the test bunnies. Aye aye aye,CjColclough,"Nyon, Switzerland",10/25/2020 23:51,neutral
71,Cyprus authorities report another COVID-19 cases on Sunday,Parikiaki,London,10/25/2020 22:12,neutral
72,"This year has been the worst ever in so many ways. But the fact we will, almost certainly, have a imminently shows what we can achieve if the world pulls together with a common threat and purpose. After this, can governments PLEASE actually tackle",GOTHARDDANIEL,"Oxford, England",10/25/2020 21:02,negative
73,. Alex Azar is rumored to be pushing for the ouster of Commissioner Stephen Hahn in retaliation for the health agencys issuing its own independent guidance for approving a . has denied the allegations.,CHEManager_EU,"Weinheim, Germany",10/25/2020 20:37,positive
74,DNA India - India to get COVID-19 vaccine by mid-2021 says Biocon's Kiran Mazumdar-Shaw - [],nippynews,,10/25/2020 19:00,neutral
75,"The , the ministry said, has already tested well on a number of animal models and the IIBR has produced more than doses for the first and second phases of the clinical trials.",timethief,"Salish Sea, B.C.",10/25/2020 18:41,positive
76,We need to work together. will bring us together again to join the rest of the world in,armstrongcircu2,Cincinnati OH,10/25/2020 18:37,neutral
77,The Health and Human Services Secretary Alex Azar said that the United States will preferably have the effective vaccines to immunize all the vulnerable COVID-19 patients by end of . ://,MirrorReview1,"Pune, India",10/25/2020 17:30,positive
78,Fascinating talk by Professor Adrian Hill on the . Maybe good interim vaccine results would mean emergency approval could be given by regulator to start rolling out cacine to elderly vulnerable and frontline medical staff by end of,elly9876,,10/25/2020 17:28,positive
79,"While is busy promising free for , the rest of is still WAITING for: * lakhs in every bank account.* The benefits of * The benefits of * The benefits of building the world's largest statue.",RanjitAtWork,"London, England",10/25/2020 16:52,positive
80,Phase III trial Of COVID-19 vaccine in Odisha hospital soon ://,DinalipiOnline,"Bhubaneshwar, India",10/25/2020 16:27,neutral
81,The Centers for Medicare and Medicaid Services wants a free COVID-19 vaccine available to all,lawofficeofdanh,"Michigan, USA",10/25/2020 16:06,positive
82,I bet the Black Santa Claus didnt get that offer and would have declined being experimented upon but all of them are on the naught list and getting coal and jail time,GeekyPoliWonk,USA,10/25/2020 16:00,negative
83,The whole is literally sat down like that waiting for,WMatata,,10/25/2020 15:37,positive
84,I dont know about you but I want this pandemic to be over. I want a in .This move by the CPC could easily prevent that. Its as simple as that. Motion passesCanadians access to vaccines against this deadly virus is put in peril.,RoyCecely,"Ottawa, Ontario",10/25/2020 15:25,positive
85,U.S. disease expert Fauci says vaccine verdict due by early December,DButler1958,"Texas, USA",10/25/2020 15:00,negative
86,If Proved To Be Safe... Could ComeAt Year's EndSaysDr.Fauci.....*VankaPro,vankapro,,10/25/2020 14:45,positive
87,Dude...I of a hundred other non-essential workers that should get this before a Santa Claus performer.,twbsummers,"Westminster, CO",10/25/2020 14:31,negative
88,MOPH signs agreement with second pharmaceutical company to procure COVID-19 vaccines,qatarnews,"Doha, Qatar",10/25/2020 13:17,neutral
89,MOPH signs agreement with second pharmaceutical company to procure COVID-19 vaccines,ILQLive,"Doha, Qatar",10/25/2020 13:11,neutral
90,"Bottlenecks at congested will likely be a critical point in the distribution , warns the",ThelmaEtim1,UK,10/25/2020 12:10,neutral
91,"Bottlenecks at congested will likely be a critical point in the distribution , warns the",AirCargoEye,Global,10/25/2020 12:09,neutral
92,Oxford-AstraZeneca completes its experimental COVID-19 vaccine trials and BMC will soon start the third phase of its clinical trials in Mumbai.,moneycontrolcom,Mumbai,10/25/2020 11:24,positive
93,Welcome Message by Dr. Naif Alharbi Forum Co-Chairman Director.,C_19Vaccine,,10/25/2020 11:12,positive
94,Welcome Message by Dr. Mohamed Boudjelal COVID19 Forum Chairperson.,C_19Vaccine,,10/25/2020 11:07,positive
95,EXPLAINED - WHY THEY ARE SO DESPERATE TO GIVE EVERYONE THE UNNECESSARY DNA ALTERING HIGH-RISK WARP SPEED GATES/MODERNA .In Trials - % of the High Dose Group and % of the Low Dose Group Had Systemic Side EffectsSTOPWORLDCONTROLDOTCOM,ChrisThirkill,London,10/25/2020 10:21,negative
96,by Read more:,DeccanHerald,India,10/25/2020 10:07,positive
97,hospital at centre of revelation about for NHS staff,ClaireH_NN,Nuneaton,10/25/2020 9:06,neutral
98,It's good to follow some boundaries.,iamdevaggarwal,"New Delhi, India",10/25/2020 7:41,positive
99,It's good to follow some boundaries.,iamdevaggarwal,"New Delhi, India",10/25/2020 7:08,positive
100,"Prime Minister Prayut Chan-o-cha has emphasized COVID-19 vaccine and medication as ""global public goods"" that can be equally accessed by everyone worldwide to mark UN Day on Saturday.Read more :",NBTWORLDNews,"Bangkok, Thailand",10/25/2020 7:05,positive
101,Every Nation is keen to know that which Pharma_Company gets Success in Developing . Modena &amp; Johnson_n_Johnson are two Company who have Succeeded in continuing rd Trial.,dharmendra_jhaa,,10/25/2020 6:51,positive
102,Stay Positive and Test Negative.,seaetcharedee,"Surat, India",10/25/2020 6:32,negative
103,Rushed Election Week batch.,Gregoriancant,"Oregon, USA",10/25/2020 6:21,neutral
104,Alike PPD_Leader Politicians are fighting Presidential on the bases of 'Free' . On other hand Trump is cured from by taking Controversial Medicines.,dharmendra_jhaa,,10/25/2020 6:21,positive
105,". How to get vaccinated for a while preserving ?2. Why won't identity linked healthcare fuel apparatus henceforth?3. What are the alternatives for rolling out with speed, scale and efficiency?",wisdom_stoic,"New Delhi, India",10/25/2020 5:51,neutral
106,Democrat party contestant Joe Biden said that free vaccine will be given to all the people in the US if he won in US presidential Elections in a speech where they were just eleven days ahead for the polls.,Mango_News,Hyderabad,10/25/2020 5:45,positive
107,"India Reports New COVID-19 Cases in Past Hours, Tally Inches Closer to Lakh, Death Toll Rises to",latestly,"Mumbai, India",10/25/2020 4:48,negative
108,The vaccine may be available early if government decides to use it under emergency use but Bharat Biotech is not pressing for such a permission. ://,WIONews,India,10/25/2020 3:35,positive
109,"COVID-19 Vaccines in India to Be Approved by February, Will Be Available to Larger Population Between April to June, Says Kiran Mazumdar-Shaw ://",latestly,"Mumbai, India",10/25/2020 3:31,positive
110,DNA India - India-Myanmar to jointly work on Covid-19 vaccine - [],nippynews,,10/25/2020 3:30,neutral
111,"SMS, digital certificate, schools as booths in blueprint for drive next year. Read more:",ralpharakal,Bangalore,10/25/2020 1:18,positive
112,Why can't be distributed to active adult population by REusing VOTING data &amp; registration process. This could be -2 month total for shot vaccinations. At least can help to deliver something else besides POLITICS. $MRNA $Bntx,InnDeptInvestor,,10/24/2020 23:43,negative
113,Vaccine experts warned the that releasing a without robust data could result in significant harm to Americans.,IDSE_Online,"New York, NY",10/24/2020 22:05,positive
114,. expresses hope that will be made available in country by January next year,airnewsalerts,"New Delhi, India",10/24/2020 21:49,positive
115,Harsh Vardhan expresses hope that Covid-19 vaccine will be made available in country by January next year,WeForNews,"New Delhi, Delhi",10/24/2020 20:03,positive
116,further details,C_19Vaccine,,10/24/2020 19:50,neutral
117,"Lockdowns are a way to destroy the existing societies for the ""global reset"". Civil wars between the people and the governments are the easiest way to bring down global societies...",Khadijah4764,,10/24/2020 19:24,negative
118,Welcome Message by Dr. Ahmed Alaskar President of COVID-19 Vaccine Symposium.,C_19Vaccine,,10/24/2020 19:10,positive
119,"Welcome Message by Dr. Bandar AlKnawy, Chief Executive Officer Ministry of National Guard-Health Affairs, President King Saud Bin Abdulaziz University for Health Sciences, Patron of th KAIMRC Annual Forum For Medical Research.",C_19Vaccine,,10/24/2020 18:49,positive
120,Symposium Topics,C_19Vaccine,,10/24/2020 18:39,neutral
121,About us:,C_19Vaccine,,10/24/2020 18:24,neutral
122,DNA India - India to get COVID-19 vaccine by mid-2021 says Biocon's Kiran Mazumd... - [],nippynews,,10/24/2020 17:30,neutral
123,"Any that alters your is a DNA is your code passed to your children, from thousands of generations. If your code is corrupted how will a Human baby be formed? Mod -e-(fy)-RNA",freedomgard,,10/24/2020 17:22,positive
124,First quarter of .,mishzguafa,North Borneo  - Kuala Lumpur,10/24/2020 17:04,positive
125,Health Minister expresses hope that will be made available in the country by January next year.,pibchennai,"Tamil Nadu, Chennai",10/24/2020 15:32,positive
126,Health Minister expresses hope that will be made available in the country by January next year.,airnewsalerts,"New Delhi, India",10/24/2020 15:31,positive
127,The claims to discover to by the pharmaceutical company...,Worldnews24dly,Everywhere,10/24/2020 15:30,neutral
128,"Several companies are working to create COVID-19 vaccines, which are expected to be finalized and approved for distribution in the coming months, according to the governor's office.",JMangalonzo,,10/24/2020 15:27,negative
129,my recent paper 'Computational perspectives revealed prospective vaccine candidates from five structural proteins of novel SARS corona virus (SARS-CoV-2)' article published in journal,sbiswal53,"Bilaspur, India",10/24/2020 15:20,neutral
130,"Developing a vaccine is just the first step. Having the supplies to administer it is also critical, said at our event last week (). Learn about what is doing to get ready to distribute a here:",Wilson_MHI,"Washington, DC",10/24/2020 14:54,positive
131,promises free for everyone in US if elected as President,NagalandPage,"Nagaland, India",10/24/2020 14:25,positive
132,All citizens should get free : CM,thetribunechd,Chandigarh,10/24/2020 14:17,positive
133,FDA says its regulatory decision-making for a will be driven by science alone,railpony,Washington State,10/24/2020 13:24,neutral
134,| COVID-19 Vaccine Should be Free for All: Kejriwal ://,pratidintime,"Guwahati, India",10/24/2020 13:03,positive
135,Everything Ive read about the says it will be a series of two shots. So just think about how complicated that makes logistics for million United States residents.,rainyoldlady,"Dallas, TX",10/24/2020 12:57,negative
136,People are traveling across China in hopes of a Covid-19 vaccine shot,rainyoldlady,"Dallas, TX",10/24/2020 12:53,neutral
137,See the latest update on the urgent race to develop a at . :// [well done!],DrInfoSec,Back in the USA,10/24/2020 12:47,positive
138,All citizens should get free :,ptcnews,"Mohali, India",10/24/2020 12:39,positive
139,must explain govt facility is sold fore voteIs govt facility is sold to must take immediate action to ban the party for contesting,abdulrazak1563,"Mangalore, India",10/24/2020 12:25,positive
140,... reported its resuming of,Headlines4You,USA,10/24/2020 12:21,neutral
141,"COVID-19 Vaccine should be Given Free to all, says Arvind Kejriwal",sinceindmedia,India,10/24/2020 12:15,positive
142,Oct : for a : /scitranslmed.abe0948,NewsAnatomy13,TheAsylumðŸ–•,10/24/2020 12:11,neutral
143,Is BJPs Bihar Election Manifesto Promise of Free COVID Vaccine Credible When PM Modi Ignored Naveens Plea for Free COVID Test,thenewsroom8,"Bhubaneshwar, India",10/24/2020 11:34,positive
144,is no different as officials all go around saying they in only their Of they will not take any reaches out in to pass up can even as vaccine safe their public may in listening to them too!,1KingOfAMERICA1,Columbus  Ohio,10/24/2020 11:21,positive
145,Cyprus Ministry of Health announces more cases of covid on Friday,Parikiaki,London,10/24/2020 11:09,positive
146,"I think we have to remember not to forget what these diseases did in the past and to actively collaborate, to work with each other, and to communicate well that vaccines work."" - at a event on developing a .",NewSecurityBeat,"Washington, D.C.",10/24/2020 11:07,negative
147,Chief Minister on Saturday said the should be made available throughout the country for free,Oneindia,India,10/24/2020 11:02,positive
148,Delhi CM Arvind Kejriwal Pitches For Free COVID-19 Vaccine Throughout India,latestly,"Mumbai, India",10/24/2020 10:51,positive
149,"COVID-19 Vaccines in India to be Available by June, Delivering to Billion People a Challenge, Says Kiran Mazumdar-Shaw | Read full report",latestly,"Mumbai, India",10/24/2020 10:35,positive
150,"Oct NewsletterGood morning, my personal choices for today:",scrufton73,"North East, uk",10/24/2020 10:34,neutral
151,"Oct NewsletterGood morning, my personal choices for today: ://",FibroFlutters,Sunderland - Tyne &Wear - UK,10/24/2020 10:33,neutral
152,Dear and thank you for keeping me going in . Thanks to your show I passed my examinations so I am grateful for your COVID19 coverage on I hope you interview each other in your shows and,MichaelMoyo1,Zimbabwe,10/24/2020 10:31,positive
153,COVID-19 vaccine should be made available throughout the country for free: Delhi CM .,moneycontrolcom,Mumbai,10/24/2020 10:27,positive
154,All the Anti Nationals should not be given . Then they will understand the true meaning of Patriotism for one's Nation.,UNaveenshet,"Udupi, Karnataka",10/24/2020 10:16,positive
155,"The story behind the amazing and beautiful cover by and : ""We wanted to steer clear of syringes and globes and - if possible - not make the virus the main element. We landed on a design inspired by Bauhaus."" in",simoneheekeren,"KÃ¶ln l Aachen, Germany",10/24/2020 10:05,positive
156,The trials of the two pharmaceutical firms were halted after serious adverse reactions (SAE) were detected in volunteers,NENowNews,"à¤—à¥à¤µà¤¾à¤¹à¤¾à¤Ÿà¥€, à¤­à¤¾à¤°à¤¤",10/24/2020 10:04,negative
157,Emirates SkyCargo to set up the worlds largest GDP compliant air cargo hub in Dubai for global distribution of COVID-19 vaccine,businesscafe100,,10/24/2020 9:26,neutral
158,"Pledges Free Covid Vaccine For ""Everyone"" In US If Elected",Oneindia,India,10/24/2020 9:23,positive
159,"Criticising 's election promise of free to , , in its mouthpiece Saamana said that Bihar should get vaccine but other states are not in .",Oneindia,India,10/24/2020 9:15,positive
160,Bharat Biotech International Ltd Executive director Sai Prasad said that their company plans to launch their covid19 vaccine named covaxin by June in the next year.,Mango_News,Hyderabad,10/24/2020 8:45,neutral
161,Is it possible that &amp; working Secretly on Project!,dharmendra_jhaa,,10/24/2020 8:41,negative
162,"A day after Health Minister hinted at providing free to the residents of the National Capital, CM , when asked about the same, said that the whole country should get the free vaccine &amp; asked everyone to wait for vaccine first.",MirrorNow,India,10/24/2020 8:40,positive
163,"Since , Philip Morris Investments B.V. (PMIBV), a subsidiary of Philip Morris International (PMI) (NYSE: PM), has been a shareholder of Medicago ://",MedicircleI,Mumbai,10/24/2020 8:34,neutral
164,to be ready by mid-2021: 's Kiran Mazumdar Shaw,Oneindia,India,10/24/2020 8:08,positive
165,"Pharmaceutical companies united to produce .The drug industry is a very fierce businesses environment where rival companies would never cooperate under normal circumstances.Despite the , I believe somehow this made us closer.",TheAmaz45215114,"Roma, Lazio",10/24/2020 7:52,positive
166,"While the information on whether any data or facilities have been affected is unknown, Dr. Reddy's said it isolated all of its data center services as a precautionary measure...",CISOMAG,"Albuquerque, New Mexico",10/24/2020 7:40,negative
167,The Times of India - The path to a Covid-19 vaccine - [],nippynews,,10/24/2020 7:30,neutral
168,| promises free for everyone in US if elected as president,thetribunechd,Chandigarh,10/24/2020 7:28,positive
169,Joe Biden pledges free Covid-19 vaccines for all if elected,UiTV_Connect,"London, England",10/24/2020 7:26,positive
170,"SO many are coming! HOW to Choose? ~ TIPs to Humans, UTube Video ...",qooradio,,10/24/2020 6:51,positive
171,Phase-3 of Oxford-AstraZeneca to begin in the next few days,shinils,"Pune, India",10/24/2020 6:46,negative
172,"Covid-19 vaccines to be ready by June, says Kiran Mazumdar-Shaw",shinils,"Pune, India",10/24/2020 6:45,positive
173,became a poll and political issue in democratic countries. origin still remains a question for research. are sorrounded by jobs and development. Hope caste politics will get back seat. Some take aways of !!!,jagan601,"Hyderabad, India",10/24/2020 6:34,neutral
174,Odisha starts preparation of database of frontline workers for COVID-19 vaccine ://,DinalipiOnline,"Bhubaneshwar, India",10/24/2020 6:22,neutral
175,Loving these podcasts by on ! They're all c. mins or less &amp; usually cover different topics in each episode. Short and sweet and factual with experts.This one's got some good info on &amp; .,nerdynomers,,10/24/2020 6:13,positive
176,The Drugs Controller General of India has given approval to Covaxin for phase clinical trials with certain conditions. The indigenous has been developed by the Hyderabad-based firm in collaboration with the (ICMR).,ehealthonline,"Noida, India",10/24/2020 6:06,positive
177,group: What happens after a is authorized?,QuickTechPro,Global,10/24/2020 5:40,neutral
178,ETHealthworld | Centre has decided to distribute Covid-19 vaccine free of cost: Himanta Biswa Sarma,ETHealthWorld,"Noida, India",10/24/2020 5:30,positive
179,"India, US likely to ink strategic info sharing pact during +2 meet",telugubullet,World Wide,10/24/2020 5:28,neutral
180,": Perhaps the BJP forgot that as a party in governance, it is answerable to all citizens, not just those of poll-bound States.",TheDailyPioneer,,10/24/2020 5:10,neutral
181,Biden pledges free Covid-19 vaccines for all if elected,telugubullet,World Wide,10/24/2020 5:04,positive
182,"Biocon's MD Kiran Mazumdar-Shaw is hopeful that the company's vaccine will be ready by June next year, according to a media report.",DeccanHerald,India,10/24/2020 4:51,positive
183,You know Trump is going to rush something to market during election week. Probably in Red Bull cans through a DT Jr. distribution network.,Gregoriancant,"Oregon, USA",10/24/2020 4:45,neutral
184,The cold chain and procurement requirements of candidate potential s are not yet fully discussed. This will be a main hurdle once the vaccinces are approved and produced.,ArashRashidian,"Cairo, Egypt",10/24/2020 4:42,negative
185,Special about in the2nd World on and Want to be a part of this ?Whatsapp at: +44-2039369064,vaccinemeet2020,United Kingdom,10/24/2020 4:32,positive
186,"ETCISO | All Covid-19 vaccine developers on hackers radar, say experts",ET_CISO,India,10/24/2020 4:30,neutral
187,Bristol University study has found that the Oxford vaccine builds strong immunity to the virus://,editorji,"Sultanpur, New Delhi",10/24/2020 4:15,positive
188,US Presidential Election : Joe Biden Promises Free COVID-19 Vaccine For All Americans If Elected,latestly,"Mumbai, India",10/24/2020 3:31,positive
189,Central Government Preparing Major Project For Distribution Of COVID Vaccine,mathrubhuminews,"Kerala, India",10/24/2020 2:56,positive
190,"As scientists race to develop COVID-19 vaccines, a new poll shows fewer than one-third of Black residents in California plan to get immunized.Read More:",Calnews247,California,10/24/2020 2:53,positive
191,"BJP promises mn jobs, free Covid-19 vaccine in its manifesto",newsorb360,gurgaon,10/24/2020 2:31,positive
192,All the health facilities registered through Karnataka Private Medical Establishments (KPME) Act are being informed through online portal and SMS messages for timely data collection.,DeccanHerald,India,10/24/2020 2:27,neutral
